POSICIÓN,AREA,Á.LIQ.,GRUPO DE PERSONAL,CODIGO POSTAL,MOTIVO DE LA RENUNCIA,BANDA,BAJA,REGLAPHT,ALTA,AÑOS,MESES,ANTIGÜEDAD,CLAVE DE SEXO,LUGAR DE NACIMIENTO,NACIONALIDAD,EDAD,¿CUANTO TIEMPO TIENE VIVIENDO EN CD. JUAREZ?,ESTADO CIVIL,HIJOS,Distancia,TIEMPO VIVIENDO EN CD JUAREZ - CATEGORIA,TIENE HIJOS
POS1380,MFS,S5,Direct,32696,Vol Otro empleo,DO,2023-01-10,JT031800,2021-02-04,2,23.5,705,Femenino,TEMIXO,Mexican,23,5-6 Years,U-Libr,1,13.940636066402496,4-6 Años,Sí
POS1921,MFS,S5,Direct,32575,Vol Insatisfacción personal,DO,2023-01-10,JF010600,2021-02-04,2,23.5,705,Femenino,VERACRUZ,Mexican,23,5-6 Years,Solter,0,6.025403146377438,4-6 Años,No
POS538,VS7,S5,Direct,32575,Vol Cambio de domicilio,DO,2023-01-10,JT031800,2022-08-11,1,5.066666666666666,152,Masculino,DURANGO,Mexican,20,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS1323,VS5,S5,Direct,32599,Vol Insatisfacción personal,DO,2023-01-10,JS011500,2022-09-14,1,3.933333333333333,118,Femenino,DURANGO,Mexican,48,10+ Years,Casad,3,13.59346846802786,10+ Años,Sí
POS1323,VS9-ABS,S5,Direct,32570,Vol Prob personales y fam.,DO,2023-01-10,JF010600,2022-10-03,1,3.3,99,Masculino,CHIHUAHUA,Mexican,45,9-10 Years,U-Libr,2,,10+ Años,Sí
POS1921,MFS,S5,Direct,32575,Vol Insatisfacción personal,DO,2023-01-10,JF010600,2022-10-03,1,3.3,99,Femenino,CHIHUAHUA,Mexican,33,10+ Years,U-Libr,0,6.025403146377438,10+ Años,No
POS2939,VS9-ABS,S5,Direct,32598,Vol No regreso   no dio razón,DO,2023-01-10,JF010600,2022-12-01,1,1.3333333333333333,40,Masculino,VERACRUZ,Mexican,22,9-10 Years,Solter,0,14.816703036317268,10+ Años,No
POS347,LOG,S5,Direct,32696,Imp.Tra Ausentismos continuos,DNO,2023-01-10,JS011500,2022-12-15,1,0.8666666666666667,26,Masculino,CHIHUAHUA,Mexican,31,,Solter,1,13.940636066402496,Menos de 1 Año,Sí
POS2384,QMM,S5,Direct,32217,Vol Otro empleo,DNO,2023-01-10,JF010600,2005-11-02,18,209.26666666666665,6278,Masculino,COAHUILA,Mexican,45,10+ Years,Casad,4,18.258464034263955,10+ Años,Sí
POS2553,QMM,S5,Direct,32150,Vol Prob personales y fam.,DNO,2023-01-10,JT012324,2013-07-15,10,115.53333333333332,3466,Femenino,ZACATECAS,Mexican,39,10+ Years,Casad,3,20.716003241103618,10+ Años,Sí
POS2802,TEF,S5,Direct,32599,Vol Prob personales y fam.,DNO,2023-01-10,JF010600,2015-04-13,8,94.3,2829,Femenino,DURANGO,Mexican,27,7-8 Years,U-Libr,0,13.59346846802786,7-9 Años,No
POS538,VS9-ABS,S5,Direct,32540,Vol Insatisfacción personal,DO,2023-01-10,JF060600,2016-11-02,7,75.33333333333331,2260,Femenino,DURANGO,Mexican,36,10+ Years,U-Libr,2,2.6942229076486908,10+ Años,Sí
POS1661,MFS,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-01-11,JT012324,2022-12-08,1,1.1333333333333333,34,Femenino,CHIHUAHUA,Mexican,36,10+ Years,Casad,3,6.025403146377438,10+ Años,Sí
POS1230,VS9-ABS,S5,Direct,32665,Vol Transferencia entre planta,DNO,2023-01-13,JF010600,2018-11-08,5,50.9,1527,Masculino,CHIHUAHUA,Mexican,24,,U-Libr,0,7.244211171772542,Menos de 1 Año,No
POS2076,HRL,S6,Exempt,32695,Imp.Pat Pensionado IMSS,E3,2023-01-13,ADMINIST,2006-01-23,17,206.63333333333335,6199,Femenino,"NUEVO CASAS GRANDES, CHIH",Mexican,42,,Solter,1,14.766084763351962,Menos de 1 Año,Sí
POS1921,MFS,S5,Direct,32575,Vol Transferencia entre planta,DO,2023-01-13,JS011500,2022-07-28,1,5.6333333333333355,169,Femenino,CHIHUAHUA,Mexican,24,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS2046,VS4,S6,Exempt,32410,Vol Transferencia entre planta,E4,2023-01-13,ADMINIST,2006-05-15,17,202.9,6087,Femenino,"CUAUHTEMOC, CHIH",Mexican,42,,Solter,2,10.25442013078869,Menos de 1 Año,Sí
POS2856,VS5,S6,Exempt,32587,Vol Otro empleo,E3,2023-01-13,ADMINIST,2014-04-23,9,106.23333333333332,3187,Masculino,CHIHUAHUA,Mexican,28,,Solter,0,5.66534680905694,Menos de 1 Año,No
POS2939,VS1-HOUS,S5,Direct,32599,Vol No regreso   no dio razón,DO,2023-01-16,JF010600,2022-12-01,1,1.5333333333333334,46,Femenino,GUERRERO,Mexican,24,,Solter,1,13.59346846802786,Menos de 1 Año,Sí
POS347,LOG,S5,Direct,32697,Vol No regreso   no dio razón,DNO,2023-01-16,JS011500,2022-12-22,1,0.8333333333333335,25,Masculino,CHIAPAS,Mexican,20,,U-Libr,0,9.352542138276764,Menos de 1 Año,No
POS347,LOG,S5,Direct,32575,Vol No regreso   no dio razón,DNO,2023-01-16,JT021800,2022-12-01,1,1.5333333333333334,46,Masculino,CHIHUAHUA,Mexican,28,,Sep,1,6.025403146377438,Menos de 1 Año,Sí
POS538,VS5,S5,Direct,32575,Vol Otro empleo,DO,2023-01-17,JF060600,2020-10-08,3,27.7,831,Femenino,CHIHUAHUA,Mexican,20,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS538,VS7,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-01-17,JT031800,2020-11-26,3,26.066666666666666,782,Masculino,CHIHUAHUA,Mexican,45,10+ Years,U-Libr,1,6.025403146377438,10+ Años,Sí
POS538,VS9-ABS,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-01-17,JT031800,2022-08-25,1,4.833333333333334,145,Femenino,OAXACA,Mexican,38,,Casad,3,6.025403146377438,Menos de 1 Año,Sí
POS1323,VS9-ABS,S5,Direct,32599,Vol Cambio de domicilio,DO,2023-01-17,JF010600,2022-09-08,1,4.366666666666666,131,Masculino,TABASCO,Mexican,39,10+ Years,U-Libr,3,13.59346846802786,10+ Años,Sí
POS538,VS9-ABS,S5,Direct,32575,Vol Estudios,DO,2023-01-17,JF060600,2022-11-17,1,2.033333333333333,61,Femenino,CHIHUAHUA,Mexican,20,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS2803,VS7,S5,Direct,32576,Vol Otro empleo,DNO,2023-01-17,JF010600,2017-06-08,6,68.3,2049,Masculino,CHIHUAHUA,Mexican,47,,Casad,2,6.376805488828198,Menos de 1 Año,Sí
POS2803,VS7,S5,Direct,32594,Vol Prob personales y fam.,DNO,2023-01-17,JS011500,2016-04-06,7,82.56666666666666,2477,Masculino,VERACRUZ,Mexican,65,,Casad,4,4.4579873551447315,Menos de 1 Año,Sí
POS2939,VS9-ABS,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-01-18,JT012324,2022-11-03,1,2.533333333333333,76,Femenino,DURANGO,Mexican,37,8-9 Years,U-Libr,2,6.025403146377438,7-9 Años,Sí
POS1380,MFS,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-01-19,JT031800,2020-02-20,3,35.466666666666654,1064,Femenino,VERACRUZ,Mexican,28,,Casad,0,6.025403146377438,Menos de 1 Año,No
POS1921,MFS,S5,Direct,32575,Vol Transferencia entre planta,DO,2023-01-20,JS011500,2013-12-04,10,111.13333333333333,3334,Femenino,VERACRUZ,Mexican,39,,U-Libr,2,6.025403146377438,Menos de 1 Año,Sí
POS538,VS9-ABS,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-01-23,JT031800,2022-11-03,1,2.7,81,Femenino,VERACRUZ,Mexican,46,,U-Libr,2,6.025403146377438,Menos de 1 Año,Sí
POS538,VS5,S5,Direct,32696,Vol No regreso   no dio razón,DO,2023-01-23,JF060600,2022-12-15,1,1.3,39,Femenino,CHIHUAHUA,Mexican,31,,U-Libr,3,13.940636066402496,Menos de 1 Año,Sí
POS1380,MFS,S5,Direct,32695,Vol No regreso   no dio razón,DO,2023-01-23,JF060600,2022-12-15,1,1.3,39,Femenino,DURANGO,Mexican,53,,Casad,3,14.766084763351962,Menos de 1 Año,Sí
POS1380,MFS,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-01-23,JF060600,2022-12-15,1,1.3,39,Femenino,COAHUILA,Mexican,42,,Casad,3,6.025403146377438,Menos de 1 Año,Sí
POS1380,MFS,S5,Direct,32575,Vol Cambio de domicilio,DO,2023-01-24,JT031800,2022-09-14,1,4.4,132,Femenino,DURANGO,Mexican,30,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS538,VS1,S5,Direct,32543,Vol Estudios,DO,2023-01-24,JT031800,2019-07-04,4,43.333333333333336,1300,Femenino,CHIHUAHUA,Mexican,21,,Solter,0,5.547035154748849,Menos de 1 Año,No
POS1323,VS9-ABS,S5,Direct,32599,Vol Otro empleo,DO,2023-01-24,JF010600,2020-02-13,3,35.86666666666665,1076,Femenino,VERACRUZ,Mexican,21,,Solter,0,13.59346846802786,Menos de 1 Año,No
POS1921,MFS,S5,Direct,32575,Vol Razones médicas,DO,2023-01-24,JT012324,2020-12-03,3,26.066666666666666,782,Femenino,VERACRUZ,Mexican,52,10+ Years,Solter,1,6.025403146377438,10+ Años,Sí
POS1323,VS9-ABS,S5,Direct,32570,Vol Prob personales y fam.,DO,2023-01-24,JF010600,2021-03-04,2,23.033333333333324,691,Femenino,CHIHUAHUA,Mexican,30,,Casad,1,,Menos de 1 Año,Sí
POS1323,VS5,S5,Direct,32575,Vol Insatisfacción personal,DO,2023-01-24,JT012324,2022-09-01,1,4.833333333333334,145,Femenino,CHIHUAHUA,Mexican,25,10+ Years,U-Libr,3,6.025403146377438,10+ Años,Sí
POS538,VS9-ABS,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-01-24,JT031800,2022-11-17,1,2.2666666666666666,68,Femenino,OAXACA,Mexican,31,,Casad,3,6.025403146377438,Menos de 1 Año,Sí
POS347,LOG,S5,Direct,32575,Vol Insatisfacción personal,DNO,2023-01-24,JS011500,2014-08-20,9,102.63333333333333,3079,Masculino,CHIHUAHUA,Mexican,27,8-9 Years,Casad,2,6.025403146377438,7-9 Años,Sí
POS1230,VS7,S5,Direct,32599,Vol Otro empleo,DNO,2023-01-24,JF010600,2016-11-09,7,75.56666666666666,2267,Masculino,DURANGO,Mexican,34,10+ Years,Sep,1,13.59346846802786,10+ Años,Sí
POS538,VS1,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-01-24,JF060600,2017-11-16,6,63.16666666666665,1895,Femenino,COAHUILA,Mexican,27,10+ Years,U-Libr,2,6.025403146377438,10+ Años,Sí
POS347,LOG,S5,Direct,32599,Vol Transferencia entre planta,DNO,2023-01-26,JS011500,2023-01-19,0,0.23333333333333336,7,Masculino,CHIHUAHUA,Mexican,22,,U-Libr,1,13.59346846802786,Menos de 1 Año,Sí
POS1323,VS5,S5,Direct,32600,Vol Transferencia entre planta,DO,2023-01-27,JS011500,2017-12-14,6,62.333333333333336,1870,Masculino,VERACRUZ,Mexican,42,,U-Libr,1,18.460211302745325,Menos de 1 Año,Sí
POS1683,CTG,S6,Exempt,32575,Vol Transferencia entre planta,E4,2023-01-29,ADMINIST,2015-12-02,8,87.16666666666667,2615,Femenino,CHIHUAHUA,Mexican,29,,Solter,0,6.025403146377438,Menos de 1 Año,No
POS538,VS1-HOUS,S5,Direct,32599,Vol No regreso   no dio razón,DO,2023-01-30,JF060600,2022-09-08,1,4.8,144,Femenino,DURANGO,Mexican,31,,Solter,3,13.59346846802786,Menos de 1 Año,Sí
POS538,VS9-ABS,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-01-30,JT031800,2022-11-03,1,2.933333333333333,88,Femenino,OAXACA,Mexican,24,,Solter,0,6.025403146377438,Menos de 1 Año,No
POS1376,VS5,S5,Direct,32599,Vol No regreso   no dio razón,DNO,2023-01-30,JT021800,2007-09-03,16,187.6,5628,Femenino,VERACRUZ,Mexican,39,,U-Libr,4,13.59346846802786,Menos de 1 Año,Sí
POS347,LOG,S5,Direct,32599,Vol Prob personales y fam.,DNO,2023-01-31,JS011500,2019-10-01,4,40.6,1218,Femenino,CHIHUAHUA,Mexican,22,,Solter,0,13.59346846802786,Menos de 1 Año,No
POS538,VS9-ABS,S5,Direct,32575,Vol Otro empleo,DO,2023-01-31,JF060600,2022-09-08,1,4.833333333333334,145,Masculino,CHIHUAHUA,Mexican,24,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS1380,MFS,S5,Direct,32583,Vol Otro empleo,DO,2023-01-31,JF060600,2017-08-31,6,65.96666666666668,1979,Masculino,OAXACA,Mexican,25,10+ Years,Solter,0,9.366780562752464,10+ Años,No
POS1323,VS9-ABS,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-01-31,JF010600,2022-10-03,1,4.0,120,Femenino,VERACRUZ,Mexican,23,,Solter,0,6.025403146377438,Menos de 1 Año,No
POS1661,MFS,S5,Direct,32599,Vol Estudios,DO,2023-01-31,JS011500,2022-10-20,1,3.433333333333333,103,Masculino,CHIHUAHUA,Mexican,24,,Solter,0,13.59346846802786,Menos de 1 Año,No
POS1376,MFS,S5,Direct,32160,Vol Otro empleo,DNO,2023-01-31,JF050600,2012-02-02,11,133.86666666666665,4016,Masculino,ESTADO DE MEXICO,Mexican,30,10+ Years,Solter,0,16.782938724016287,10+ Años,No
POS1661,MFS,S5,Direct,32695,Vol Estudios,DO,2023-01-31,JF010600,2022-11-24,1,2.2666666666666666,68,Femenino,CHIHUAHUA,Mexican,18,10+ Years,Solter,0,14.766084763351962,10+ Años,No
POS1921,MFS,S5,Direct,32600,Vol Otro empleo,DO,2023-01-31,JS011500,2017-12-28,6,62.0,1860,Masculino,GUERRERO,Mexican,25,,U-Libr,2,18.460211302745325,Menos de 1 Año,Sí
POS538,VS7,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-01-31,JT031800,2022-08-11,1,5.7666666666666675,173,Femenino,VERACRUZ,Mexican,22,10+ Years,Solter,1,6.025403146377438,10+ Años,Sí
POS1380,MFS,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-01-31,JT031800,2022-09-29,1,4.1333333333333355,124,Masculino,CHIHUAHUA,Mexican,30,10+ Years,Casad,2,6.025403146377438,10+ Años,Sí
POS2939,VS9-ABS,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-02-01,JT012324,2022-11-17,1,2.533333333333333,76,Femenino,VERACRUZ,Mexican,33,10+ Years,U-Libr,2,6.025403146377438,10+ Años,Sí
POS750,TEF,S5,Indirect,32545,Vol Transferencia entre planta,DNO,2023-02-03,ADMINIST,2019-05-02,4,45.76666666666665,1373,Masculino,CHIHUAHUA,Mexican,30,10+ Years,Solter,0,5.7126146248371725,10+ Años,No
POS750,TEF,S5,Indirect,32100,Vol Transferencia entre planta,DNO,2023-02-03,ADMINIST,2021-05-06,2,21.266666666666666,638,Masculino,CHIHUAHUA,Mexican,30,1-2 Years ,Solter,0,19.114496458152686,1-3 Años,No
POS907,VS9-ABS,S6,Exempt,32540,Vol Otro empleo,E3,2023-02-03,ADMINIST,2017-10-23,6,64.3,1929,Femenino,CHIHUAHUA,Mexican,30,,Solter,0,2.6942229076486908,Menos de 1 Año,No
POS2745,MFS,S6,Exempt,32546,Vol Otro empleo,E4,2023-02-03,ADMINIST,2016-06-15,7,80.8,2424,Masculino,CHIHUAHUA,Mexican,47,,Sep,2,4.239045606125979,Menos de 1 Año,Sí
POS1230,VS7,S5,Direct,32599,Vol Transferencia entre planta,DNO,2023-02-03,JF010600,2016-04-06,7,83.13333333333333,2494,Masculino,JUCHITAN,Mexican,38,,Solter,1,13.59346846802786,Menos de 1 Año,Sí
POS347,LOG,S5,Direct,32575,Vol No regreso   no dio razón,DNO,2023-02-06,JF010600,2017-09-07,6,65.93333333333334,1978,Masculino,OAXACA,Mexican,34,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS538,VS9-ABS,S5,Direct,32563,Vol Estudios,DO,2023-02-07,JF060600,2019-10-24,4,40.066666666666656,1202,Femenino,CHIHUAHUA,Mexican,23,,U-Libr,1,7.651533171870985,Menos de 1 Año,Sí
POS1230,VS9-ABS,S5,Direct,32667,Vol Otro empleo,DNO,2023-02-07,JT012324,2022-12-15,1,1.8,54,Masculino,CHIHUAHUA,Mexican,22,10+ Years,Solter,0,3.237393628796011,10+ Años,No
POS750,TEF,S5,Indirect,32580,Vol Otro empleo,DNO,2023-02-07,ADMINIST,2017-02-23,6,72.5,2175,Femenino,DURANGO,Mexican,25,7-8 Years,Solter,0,7.706894327778476,7-9 Años,No
POS2003,VS5,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-02-07,JS011500,2015-05-20,8,94.0,2820,Masculino,DURANGO,Mexican,57,,U-Libr,3,6.025403146377438,Menos de 1 Año,Sí
POS1884,DBE,S6,Exempt,32240,Vol Otro empleo,E4,2023-02-09,ADMINIST,2014-08-25,9,103.0,3090,Masculino,CHIHUAHUA,Mexican,33,,Casad,1,18.108271094304147,Menos de 1 Año,Sí
POS2858,QMM,S6,Exempt,32618,Vol Otro empleo,E3,2023-02-10,ADMINIST,2018-12-03,5,51.0,1530,Femenino,CHIHUAHUA,Mexican,26,,Casad,0,6.997366424868751,Menos de 1 Año,No
POS1323,VS1,S5,Direct,32599,Vol Transferencia entre planta,DO,2023-02-10,JF010600,2018-08-30,5,54.16666666666665,1625,Femenino,CHIHUAHUA,Mexican,22,,Solter,0,13.59346846802786,Menos de 1 Año,No
POS750,TEF,S5,Indirect,32575,Vol Transferencia entre planta,DNO,2023-02-10,ADMINIST,2013-07-15,10,116.56666666666666,3497,Masculino,CHIHUAHUA,Mexican,31,10+ Years,U-Libr,0,6.025403146377438,10+ Años,No
POS538,VS9-ABS,S5,Direct,32590,Vol No regreso   no dio razón,DO,2023-02-13,JF060600,2022-10-06,1,4.333333333333334,130,Masculino,CHIHUAHUA,Mexican,20,,Solter,0,7.6167347145514395,Menos de 1 Año,No
POS2939,VS9-ABS,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-02-13,JS011500,2023-01-19,0,0.8333333333333335,25,Masculino,VERACRUZ,Mexican,21,,Solter,0,6.025403146377438,Menos de 1 Año,No
POS1380,MFS,S5,Direct,32575,Vol Estudios,DO,2023-02-14,JF060600,2018-12-27,5,50.333333333333336,1510,Femenino,CHIHUAHUA,Mexican,23,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS1323,VS5,S5,Direct,32575,Vol Estudios,DO,2023-02-14,JT012324,2022-09-01,1,5.533333333333334,166,Femenino,CHIHUAHUA,Mexican,20,9-10 Years,Solter,0,6.025403146377438,10+ Años,No
POS347,LOG,S5,Direct,32575,Vol Prob personales y fam.,DNO,2023-02-14,JF010600,2022-10-03,1,4.466666666666668,134,Masculino,JALISCO,Mexican,36,10+ Years,Solter,1,6.025403146377438,10+ Años,Sí
POS2939,VS9-ABS,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-02-14,JF010600,2022-12-01,1,2.5,75,Femenino,CHIHUAHUA,Mexican,33,10+ Years,Solter,2,6.025403146377438,10+ Años,Sí
POS750,TEF,S5,Indirect,32573,Vol Otro empleo,DNO,2023-02-14,ADMINIST,2023-01-19,0,0.8666666666666667,26,Femenino,CHIHUAHUA,Mexican,24,10+ Years,Solter,0,3.2680676311965646,10+ Años,No
POS538,VS1-HOUS,S5,Direct,32600,Vol Estudios,DO,2023-02-14,JF060600,2017-07-13,6,68.06666666666666,2042,Masculino,CHIHUAHUA,Mexican,25,10+ Years,Solter,0,18.460211302745325,10+ Años,No
POS2939,VS9-ABS,S5,Direct,32575,Vol Insatisfacción personal,DO,2023-02-14,JS011500,2022-12-01,1,2.5,75,Masculino,DURANGO,Mexican,33,,Solter,3,6.025403146377438,Menos de 1 Año,Sí
POS2939,VS5,S5,Direct,32573,Vol No regreso   no dio razón,DO,2023-02-15,JT012324,2023-01-19,0,0.9,27,Femenino,CHIAPAS,Mexican,33,10+ Years,U-Libr,2,3.2680676311965646,10+ Años,Sí
