POSICIÓN,AREA,Á.LIQ.,GRUPO DE PERSONAL,CODIGO POSTAL,MOTIVO DE LA RENUNCIA,BANDA,BAJA,REGLAPHT,ALTA,AÑOS,MESES,ANTIGÜEDAD,SEXO,LUGAR DE NACIMIENTO,NACIONALIDAD,EDAD,¿CUANTO TIEMPO TIENE VIVIENDO EN CD. JUAREZ?,ESTADO CIVIL,HIJOS,Distancia,TIEMPO VIVIENDO EN CD JUAREZ - CATEGORIA,TIENE HIJOS,TIPO DE RENUNCIA,Latitud,Longitud
POS538,VS4,S5,Direct,32599,NO REGRESO   NO DIO RAZÓN,DO,2023-01-09,JT031800,2022-10-06,1,3.1666666666666665,95,M,VERACRUZ,Mexican,30,,Soltero,0,13593.46846802786,Menos de 1 Año,No,VOLUNTARIA,31.55363333,-106.4151273
POS1380,MFS,S5,Direct,32599,OTRO EMPLEO,DO,2023-01-10,JT031800,2019-03-28,4,46.13333333333333,1384,F,CHIHUAHUA,Mexican,22,5-6 Years,Soltero,0,13593.46846802786,4-6 Años,No,VOLUNTARIA,31.55363333,-106.4151273
POS1230,VS7,S5,Direct,32575,OTRO EMPLEO,DNO,2023-01-10,JF010600,2019-09-12,4,40.53333333333333,1216,M,CHIHUAHUA,Mexican,24,,Soltero,0,6025.403146377439,Menos de 1 Año,No,VOLUNTARIA,31.61535,-106.3810634
POS1380,MFS,S5,Direct,32696,OTRO EMPLEO,DO,2023-01-10,JT031800,2021-02-04,2,23.5,705,F,MORELOS,Mexican,23,5-6 Years,U-Libr,1,13940.636066402494,4-6 Años,Sí,VOLUNTARIA,31.58021875,-106.46245
POS1921,MFS,S5,Direct,32575,INSATISFACCIÓN PERSONAL,DO,2023-01-10,JF010600,2021-02-04,2,23.5,705,F,VERACRUZ,Mexican,23,5-6 Years,Soltero,0,6025.403146377439,4-6 Años,No,VOLUNTARIA,31.61535,-106.3810634
POS538,VS7,S5,Direct,32575,CAMBIO DE DOMICILIO,DO,2023-01-10,JT031800,2022-08-11,1,5.066666666666666,152,M,DURANGO,Mexican,20,10+ Years,Soltero,0,6025.403146377439,10+ Años,No,VOLUNTARIA,31.61535,-106.3810634
POS1323,VS5,S5,Direct,32599,INSATISFACCIÓN PERSONAL,DO,2023-01-10,JS011500,2022-09-14,1,3.933333333333333,118,F,DURANGO,Mexican,48,10+ Years,Casad,3,13593.46846802786,10+ Años,Sí,VOLUNTARIA,31.55363333,-106.4151273
POS1323,VS9-ABS,S5,Direct,32570,PROB PERSONALES Y FAM ,DO,2023-01-10,JF010600,2022-10-03,1,3.3,99,M,CHIHUAHUA,Mexican,45,9-10 Years,U-Libr,2,,10+ Años,Sí,VOLUNTARIA,,
POS1921,MFS,S5,Direct,32575,INSATISFACCIÓN PERSONAL,DO,2023-01-10,JF010600,2022-10-03,1,3.3,99,F,CHIHUAHUA,Mexican,33,10+ Years,U-Libr,0,6025.403146377439,10+ Años,No,VOLUNTARIA,31.61535,-106.3810634
POS2939,VS9-ABS,S5,Direct,32598,NO REGRESO   NO DIO RAZÓN,DO,2023-01-10,JF010600,2022-12-01,1,1.3333333333333333,40,M,VERACRUZ,Mexican,22,9-10 Years,Soltero,0,14816.703036317265,10+ Años,No,VOLUNTARIA,31.55193333,-106.4378667
POS347,LOG,S5,Direct,32696,TRA AUSENTISMOS CONTINUOS,DNO,2023-01-10,JS011500,2022-12-15,1,0.8666666666666667,26,M,CHIHUAHUA,Mexican,31,,Soltero,1,13940.636066402494,Menos de 1 Año,Sí,DESPIDO,31.58021875,-106.46245
POS2384,QMM,S5,Direct,32217,OTRO EMPLEO,DNO,2023-01-10,JF010600,2005-11-02,18,209.26666666666665,6278,M,COAHUILA,Mexican,45,10+ Years,Casad,4,18258.464034263958,10+ Años,Sí,VOLUNTARIA,31.6306,-106.5414667
POS2553,QMM,S5,Direct,32150,PROB PERSONALES Y FAM ,DNO,2023-01-10,JT012324,2013-07-15,10,115.53333333333332,3466,F,ZACATECAS,Mexican,39,10+ Years,Casad,3,20716.003241103623,10+ Años,Sí,VOLUNTARIA,31.5424,-106.5186333
POS2802,TEF,S5,Direct,32599,PROB PERSONALES Y FAM ,DNO,2023-01-10,JF010600,2015-04-13,8,94.3,2829,F,DURANGO,Mexican,27,7-8 Years,U-Libr,0,13593.46846802786,7-9 Años,No,VOLUNTARIA,31.55363333,-106.4151273
POS538,VS9-ABS,S5,Direct,32540,INSATISFACCIÓN PERSONAL,DO,2023-01-10,JF060600,2016-11-02,7,75.33333333333331,2260,F,DURANGO,Mexican,36,10+ Years,U-Libr,2,2694.2229076486906,10+ Años,Sí,VOLUNTARIA,31.6829,-106.371
POS1661,MFS,S5,Direct,32575,NO REGRESO   NO DIO RAZÓN,DO,2023-01-11,JT012324,2022-12-08,1,1.1333333333333333,34,F,CHIHUAHUA,Mexican,36,10+ Years,Casad,3,6025.403146377439,10+ Años,Sí,VOLUNTARIA,31.61535,-106.3810634
POS1230,VS9-ABS,S5,Direct,32665,TRANSFERENCIA ENTRE PLANTA,DNO,2023-01-13,JF010600,2018-11-08,5,50.9,1527,M,CHIHUAHUA,Mexican,24,,U-Libr,0,7244.211171772542,Menos de 1 Año,No,VOLUNTARIA,31.7048,-106.4127667
POS2076,HRL,S6,Exempt,32695,PAT PENSIONADO IMSS,E3,2023-01-13,ADMINIST,2006-01-23,17,206.63333333333333,6199,F,CHIHUAHUA,Mexican,42,,Soltero,1,14766.084763351962,Menos de 1 Año,Sí,DESPIDO,31.568878,-106.461794
POS1921,MFS,S5,Direct,32575,TRANSFERENCIA ENTRE PLANTA,DO,2023-01-13,JS011500,2022-07-28,1,5.633333333333336,169,F,CHIHUAHUA,Mexican,24,10+ Years,Soltero,0,6025.403146377439,10+ Años,No,VOLUNTARIA,31.61535,-106.3810634
POS2046,VS4,S6,Exempt,32410,TRANSFERENCIA ENTRE PLANTA,E4,2023-01-13,ADMINIST,2006-05-15,17,202.9,6087,F,CHIHUAHUA,Mexican,42,,Soltero,2,10254.420130788689,Menos de 1 Año,Sí,VOLUNTARIA,31.742,-106.4113
POS2856,VS5,S6,Exempt,32587,OTRO EMPLEO,E3,2023-01-13,ADMINIST,2014-04-23,9,106.23333333333332,3187,M,CHIHUAHUA,Mexican,28,,Soltero,0,5665.346809056942,Menos de 1 Año,No,VOLUNTARIA,31.631,-106.3985
POS2939,VS1-HOUS,S5,Direct,32599,NO REGRESO   NO DIO RAZÓN,DO,2023-01-16,JF010600,2022-12-01,1,1.5333333333333334,46,F,GUERRERO,Mexican,24,,Soltero,1,13593.46846802786,Menos de 1 Año,Sí,VOLUNTARIA,31.55363333,-106.4151273
POS347,LOG,S5,Direct,32697,NO REGRESO   NO DIO RAZÓN,DNO,2023-01-16,JS011500,2022-12-22,1,0.8333333333333335,25,M,CHIAPAS,Mexican,20,,U-Libr,0,9352.54213827676,Menos de 1 Año,No,VOLUNTARIA,31.6303,-106.4433375
POS347,LOG,S5,Direct,32575,NO REGRESO   NO DIO RAZÓN,DNO,2023-01-16,JT021800,2022-12-01,1,1.5333333333333334,46,M,CHIHUAHUA,Mexican,28,,Sep,1,6025.403146377439,Menos de 1 Año,Sí,VOLUNTARIA,31.61535,-106.3810634
POS538,VS5,S5,Direct,32575,OTRO EMPLEO,DO,2023-01-17,JF060600,2020-10-08,3,27.7,831,F,CHIHUAHUA,Mexican,20,10+ Years,Soltero,0,6025.403146377439,10+ Años,No,VOLUNTARIA,31.61535,-106.3810634
POS538,VS7,S5,Direct,32575,PROB PERSONALES Y FAM ,DO,2023-01-17,JT031800,2020-11-26,3,26.066666666666663,782,M,CHIHUAHUA,Mexican,45,10+ Years,U-Libr,1,6025.403146377439,10+ Años,Sí,VOLUNTARIA,31.61535,-106.3810634
POS538,VS9-ABS,S5,Direct,32575,PROB PERSONALES Y FAM ,DO,2023-01-17,JT031800,2022-08-25,1,4.833333333333334,145,F,OAXACA,Mexican,38,,Casad,3,6025.403146377439,Menos de 1 Año,Sí,VOLUNTARIA,31.61535,-106.3810634
POS1323,VS9-ABS,S5,Direct,32599,CAMBIO DE DOMICILIO,DO,2023-01-17,JF010600,2022-09-08,1,4.366666666666666,131,M,TABASCO,Mexican,39,10+ Years,U-Libr,3,13593.46846802786,10+ Años,Sí,VOLUNTARIA,31.55363333,-106.4151273
POS538,VS9-ABS,S5,Direct,32575,ESTUDIOS,DO,2023-01-17,JF060600,2022-11-17,1,2.033333333333333,61,F,CHIHUAHUA,Mexican,20,10+ Years,Soltero,0,6025.403146377439,10+ Años,No,VOLUNTARIA,31.61535,-106.3810634
POS2803,VS7,S5,Direct,32576,OTRO EMPLEO,DNO,2023-01-17,JF010600,2017-06-08,6,68.3,2049,M,CHIHUAHUA,Mexican,47,,Casad,2,6376.805488828199,Menos de 1 Año,Sí,VOLUNTARIA,31.61711429,-106.3917643
POS2803,VS7,S5,Direct,32594,PROB PERSONALES Y FAM ,DNO,2023-01-17,JS011500,2016-04-06,7,82.56666666666666,2477,M,VERACRUZ,Mexican,65,,Casad,4,4457.987355144733,Menos de 1 Año,Sí,VOLUNTARIA,31.6436,-106.3934333
POS2939,VS9-ABS,S5,Direct,32575,NO REGRESO   NO DIO RAZÓN,DO,2023-01-18,JT012324,2022-11-03,1,2.533333333333333,76,F,DURANGO,Mexican,37,8-9 Years,U-Libr,2,6025.403146377439,7-9 Años,Sí,VOLUNTARIA,31.61535,-106.3810634
POS1380,MFS,S5,Direct,32575,NO REGRESO   NO DIO RAZÓN,DO,2023-01-19,JT031800,2020-02-20,3,35.466666666666654,1064,F,VERACRUZ,Mexican,28,,Casad,0,6025.403146377439,Menos de 1 Año,No,VOLUNTARIA,31.61535,-106.3810634
POS1921,MFS,S5,Direct,32575,TRANSFERENCIA ENTRE PLANTA,DO,2023-01-20,JS011500,2013-12-04,10,111.13333333333333,3334,F,VERACRUZ,Mexican,39,,U-Libr,2,6025.403146377439,Menos de 1 Año,Sí,VOLUNTARIA,31.61535,-106.3810634
POS538,VS9-ABS,S5,Direct,32575,NO REGRESO   NO DIO RAZÓN,DO,2023-01-23,JT031800,2022-11-03,1,2.7,81,F,VERACRUZ,Mexican,46,,U-Libr,2,6025.403146377439,Menos de 1 Año,Sí,VOLUNTARIA,31.61535,-106.3810634
POS538,VS5,S5,Direct,32696,NO REGRESO   NO DIO RAZÓN,DO,2023-01-23,JF060600,2022-12-15,1,1.3,39,F,CHIHUAHUA,Mexican,31,,U-Libr,3,13940.636066402494,Menos de 1 Año,Sí,VOLUNTARIA,31.58021875,-106.46245
POS1380,MFS,S5,Direct,32695,NO REGRESO   NO DIO RAZÓN,DO,2023-01-23,JF060600,2022-12-15,1,1.3,39,F,DURANGO,Mexican,53,,Casad,3,14766.084763351962,Menos de 1 Año,Sí,VOLUNTARIA,31.568878,-106.461794
POS1380,MFS,S5,Direct,32575,NO REGRESO   NO DIO RAZÓN,DO,2023-01-23,JF060600,2022-12-15,1,1.3,39,F,COAHUILA,Mexican,42,,Casad,3,6025.403146377439,Menos de 1 Año,Sí,VOLUNTARIA,31.61535,-106.3810634
POS1380,MFS,S5,Direct,32575,CAMBIO DE DOMICILIO,DO,2023-01-24,JT031800,2022-09-14,1,4.4,132,F,DURANGO,Mexican,30,10+ Years,Soltero,0,6025.403146377439,10+ Años,No,VOLUNTARIA,31.61535,-106.3810634
POS538,VS1,S5,Direct,32543,ESTUDIOS,DO,2023-01-24,JT031800,2019-07-04,4,43.333333333333336,1300,F,CHIHUAHUA,Mexican,21,,Soltero,0,5547.035154748849,Menos de 1 Año,No,VOLUNTARIA,31.66041538,-106.4113308
POS1323,VS9-ABS,S5,Direct,32599,OTRO EMPLEO,DO,2023-01-24,JF010600,2020-02-13,3,35.86666666666665,1076,F,VERACRUZ,Mexican,21,,Soltero,0,13593.46846802786,Menos de 1 Año,No,VOLUNTARIA,31.55363333,-106.4151273
POS1921,MFS,S5,Direct,32575,RAZONES MÉDICAS,DO,2023-01-24,JT012324,2020-12-03,3,26.066666666666663,782,F,VERACRUZ,Mexican,52,10+ Years,Soltero,1,6025.403146377439,10+ Años,Sí,VOLUNTARIA,31.61535,-106.3810634
POS1323,VS9-ABS,S5,Direct,32570,PROB PERSONALES Y FAM ,DO,2023-01-24,JF010600,2021-03-04,2,23.033333333333324,691,F,CHIHUAHUA,Mexican,30,,Casad,1,,Menos de 1 Año,Sí,VOLUNTARIA,,
POS1323,VS5,S5,Direct,32575,INSATISFACCIÓN PERSONAL,DO,2023-01-24,JT012324,2022-09-01,1,4.833333333333334,145,F,CHIHUAHUA,Mexican,25,10+ Years,U-Libr,3,6025.403146377439,10+ Años,Sí,VOLUNTARIA,31.61535,-106.3810634
POS538,VS9-ABS,S5,Direct,32575,NO REGRESO   NO DIO RAZÓN,DO,2023-01-24,JT031800,2022-11-17,1,2.2666666666666666,68,F,OAXACA,Mexican,31,,Casad,3,6025.403146377439,Menos de 1 Año,Sí,VOLUNTARIA,31.61535,-106.3810634
POS347,LOG,S5,Direct,32575,INSATISFACCIÓN PERSONAL,DNO,2023-01-24,JS011500,2014-08-20,9,102.63333333333333,3079,M,CHIHUAHUA,Mexican,27,8-9 Years,Casad,2,6025.403146377439,7-9 Años,Sí,VOLUNTARIA,31.61535,-106.3810634
POS1230,VS7,S5,Direct,32599,OTRO EMPLEO,DNO,2023-01-24,JF010600,2016-11-09,7,75.56666666666666,2267,M,DURANGO,Mexican,34,10+ Years,Sep,1,13593.46846802786,10+ Años,Sí,VOLUNTARIA,31.55363333,-106.4151273
POS538,VS1,S5,Direct,32575,PROB PERSONALES Y FAM ,DO,2023-01-24,JF060600,2017-11-16,6,63.16666666666665,1895,F,COAHUILA,Mexican,27,10+ Years,U-Libr,2,6025.403146377439,10+ Años,Sí,VOLUNTARIA,31.61535,-106.3810634
POS347,LOG,S5,Direct,32599,TRANSFERENCIA ENTRE PLANTA,DNO,2023-01-26,JS011500,2023-01-19,0,0.2333333333333333,7,M,CHIHUAHUA,Mexican,22,,U-Libr,1,13593.46846802786,Menos de 1 Año,Sí,VOLUNTARIA,31.55363333,-106.4151273
POS1323,VS5,S5,Direct,32600,TRANSFERENCIA ENTRE PLANTA,DO,2023-01-27,JS011500,2017-12-14,6,62.333333333333336,1870,M,VERACRUZ,Mexican,42,,U-Libr,1,18460.21130274533,Menos de 1 Año,Sí,VOLUNTARIA,31.5523,-106.49715
POS1683,CTG,S6,Exempt,32575,TRANSFERENCIA ENTRE PLANTA,E4,2023-01-29,ADMINIST,2015-12-02,8,87.16666666666667,2615,F,CHIHUAHUA,Mexican,29,,Soltero,0,6025.403146377439,Menos de 1 Año,No,VOLUNTARIA,31.61535,-106.3810634
POS538,VS1-HOUS,S5,Direct,32599,NO REGRESO   NO DIO RAZÓN,DO,2023-01-30,JF060600,2022-09-08,1,4.8,144,F,DURANGO,Mexican,31,,Soltero,3,13593.46846802786,Menos de 1 Año,Sí,VOLUNTARIA,31.55363333,-106.4151273
POS538,VS9-ABS,S5,Direct,32575,NO REGRESO   NO DIO RAZÓN,DO,2023-01-30,JT031800,2022-11-03,1,2.933333333333333,88,F,OAXACA,Mexican,24,,Soltero,0,6025.403146377439,Menos de 1 Año,No,VOLUNTARIA,31.61535,-106.3810634
POS1376,VS5,S5,Direct,32599,NO REGRESO   NO DIO RAZÓN,DNO,2023-01-30,JT021800,2007-09-03,16,187.6,5628,F,VERACRUZ,Mexican,39,,U-Libr,4,13593.46846802786,Menos de 1 Año,Sí,VOLUNTARIA,31.55363333,-106.4151273
POS347,LOG,S5,Direct,32599,PROB PERSONALES Y FAM ,DNO,2023-01-31,JS011500,2019-10-01,4,40.6,1218,F,CHIHUAHUA,Mexican,22,,Soltero,0,13593.46846802786,Menos de 1 Año,No,VOLUNTARIA,31.55363333,-106.4151273
POS538,VS9-ABS,S5,Direct,32575,OTRO EMPLEO,DO,2023-01-31,JF060600,2022-09-08,1,4.833333333333334,145,M,CHIHUAHUA,Mexican,24,10+ Years,Soltero,0,6025.403146377439,10+ Años,No,VOLUNTARIA,31.61535,-106.3810634
POS1380,MFS,S5,Direct,32583,OTRO EMPLEO,DO,2023-01-31,JF060600,2017-08-31,6,65.96666666666668,1979,M,OAXACA,Mexican,25,10+ Years,Soltero,0,9366.780562752461,10+ Años,No,VOLUNTARIA,31.60454,-106.42302
POS1323,VS9-ABS,S5,Direct,32575,PROB PERSONALES Y FAM ,DO,2023-01-31,JF010600,2022-10-03,1,4.0,120,F,VERACRUZ,Mexican,23,,Soltero,0,6025.403146377439,Menos de 1 Año,No,VOLUNTARIA,31.61535,-106.3810634
POS1661,MFS,S5,Direct,32599,ESTUDIOS,DO,2023-01-31,JS011500,2022-10-20,1,3.433333333333333,103,M,CHIHUAHUA,Mexican,24,,Soltero,0,13593.46846802786,Menos de 1 Año,No,VOLUNTARIA,31.55363333,-106.4151273
POS1376,MFS,S5,Direct,32160,OTRO EMPLEO,DNO,2023-01-31,JF050600,2012-02-02,11,133.86666666666665,4016,M,ESTADO DE MEXICO,Mexican,30,10+ Years,Soltero,0,16782.938724016283,10+ Años,No,VOLUNTARIA,31.62336,-106.5234
POS1661,MFS,S5,Direct,32695,ESTUDIOS,DO,2023-01-31,JF010600,2022-11-24,1,2.2666666666666666,68,F,CHIHUAHUA,Mexican,18,10+ Years,Soltero,0,14766.084763351962,10+ Años,No,VOLUNTARIA,31.568878,-106.461794
POS1921,MFS,S5,Direct,32600,OTRO EMPLEO,DO,2023-01-31,JS011500,2017-12-28,6,62.0,1860,M,GUERRERO,Mexican,25,,U-Libr,2,18460.21130274533,Menos de 1 Año,Sí,VOLUNTARIA,31.5523,-106.49715
POS538,VS7,S5,Direct,32575,PROB PERSONALES Y FAM ,DO,2023-01-31,JT031800,2022-08-11,1,5.766666666666668,173,F,VERACRUZ,Mexican,22,10+ Years,Soltero,1,6025.403146377439,10+ Años,Sí,VOLUNTARIA,31.61535,-106.3810634
POS1380,MFS,S5,Direct,32575,PROB PERSONALES Y FAM ,DO,2023-01-31,JT031800,2022-09-29,1,4.133333333333336,124,M,CHIHUAHUA,Mexican,30,10+ Years,Casad,2,6025.403146377439,10+ Años,Sí,VOLUNTARIA,31.61535,-106.3810634
POS2939,VS9-ABS,S5,Direct,32575,NO REGRESO   NO DIO RAZÓN,DO,2023-02-01,JT012324,2022-11-17,1,2.533333333333333,76,F,VERACRUZ,Mexican,33,10+ Years,U-Libr,2,6025.403146377439,10+ Años,Sí,VOLUNTARIA,31.61535,-106.3810634
POS750,TEF,S5,Indirect,32545,TRANSFERENCIA ENTRE PLANTA,DNO,2023-02-03,ADMINIST,2019-05-02,4,45.76666666666665,1373,M,CHIHUAHUA,Mexican,30,10+ Years,Soltero,0,5712.614624837173,10+ Años,No,VOLUNTARIA,31.67940714,-106.4105214
POS750,TEF,S5,Indirect,32100,TRANSFERENCIA ENTRE PLANTA,DNO,2023-02-03,ADMINIST,2021-05-06,2,21.266666666666666,638,M,CHIHUAHUA,Mexican,30,1-2 Years ,Soltero,0,19114.49645815268,1-3 Años,No,VOLUNTARIA,31.6047,-106.54215
POS907,VS9-ABS,S6,Exempt,32540,OTRO EMPLEO,E3,2023-02-03,ADMINIST,2017-10-23,6,64.3,1929,F,CHIHUAHUA,Mexican,30,,Soltero,0,2694.2229076486906,Menos de 1 Año,No,VOLUNTARIA,31.6829,-106.371
POS2745,MFS,S6,Exempt,32546,OTRO EMPLEO,E4,2023-02-03,ADMINIST,2016-06-15,7,80.8,2424,M,CHIHUAHUA,Mexican,47,,Sep,2,4239.045606125978,Menos de 1 Año,Sí,VOLUNTARIA,31.6963,-106.3771
POS1230,VS7,S5,Direct,32599,TRANSFERENCIA ENTRE PLANTA,DNO,2023-02-03,JF010600,2016-04-06,7,83.13333333333333,2494,M,OAXACA,Mexican,38,,Soltero,1,13593.46846802786,Menos de 1 Año,Sí,VOLUNTARIA,31.55363333,-106.4151273
